Country,ISO_Alpha_2,Classification,GICS_SECTOR,AR_Company_Count,ISO_Alpha_3
Brazil,BR,EM,Consumer Staples,2.0,BRA
Brazil,BR,EM,Energy,1.0,BRA
Brazil,BR,EM,Financials,1.0,BRA
Brazil,BR,EM,Industrials,4.0,BRA
Brazil,BR,EM,Materials,1.0,BRA
Brazil,BR,EM,Utilities,2.0,BRA
Chile,CL,EM,Energy,1.0,CHL
Chile,CL,EM,Utilities,1.0,CHL
China,CN,EM,Consumer Discretionary,2.0,CHN
China,CN,EM,Consumer Staples,2.0,CHN
China,CN,EM,Energy,1.0,CHN
China,CN,EM,Financials,1.0,CHN
China,CN,EM,Industrials,23.0,CHN
China,CN,EM,Information Technology,7.0,CHN
China,CN,EM,Materials,12.0,CHN
China,CN,EM,Utilities,3.0,CHN
Colombia,CO,EM,,,COL
Czech Republic,CZ,EM,,,CZE
Egypt,EG,EM,Industrials,1.0,EGY
Greece,GR,EM,,,GRC
Hungary,HU,EM,,,HUN
India,IN,EM,Consumer Discretionary,5.0,IND
India,IN,EM,Consumer Staples,2.0,IND
India,IN,EM,Financials,2.0,IND
India,IN,EM,Industrials,15.0,IND
India,IN,EM,Information Technology,2.0,IND
India,IN,EM,Materials,13.0,IND
India,IN,EM,Real Estate,1.0,IND
India,IN,EM,Utilities,6.0,IND
Indonesia,ID,EM,Consumer Staples,2.0,IDN
Indonesia,ID,EM,Energy,2.0,IDN
Indonesia,ID,EM,Industrials,3.0,IDN
Indonesia,ID,EM,Materials,1.0,IDN
Indonesia,ID,EM,Real Estate,1.0,IDN
South Korea,KR,EM,Consumer Discretionary,4.0,KOR
South Korea,KR,EM,Financials,1.0,KOR
South Korea,KR,EM,Industrials,18.0,KOR
South Korea,KR,EM,Information Technology,1.0,KOR
South Korea,KR,EM,Materials,4.0,KOR
Kuwait,KW,EM,Industrials,3.0,KWT
Malaysia,MY,EM,Consumer Staples,2.0,MYS
Malaysia,MY,EM,Energy,1.0,MYS
Malaysia,MY,EM,Industrials,2.0,MYS
Malaysia,MY,EM,Information Technology,1.0,MYS
Malaysia,MY,EM,Materials,1.0,MYS
Malaysia,MY,EM,Utilities,2.0,MYS
Mexico,MX,EM,Industrials,2.0,MEX
Mexico,MX,EM,Materials,2.0,MEX
Mexico,MX,EM,Real Estate,1.0,MEX
Peru,PE,EM,,,PER
Philippines,PH,EM,Industrials,3.0,PHL
Philippines,PH,EM,Real Estate,1.0,PHL
Poland,PL,EM,Financials,1.0,POL
Poland,PL,EM,Industrials,1.0,POL
Poland,PL,EM,Information Technology,1.0,POL
Qatar,QA,EM,Industrials,1.0,QAT
Saudi Arabia,SA,EM,Consumer Staples,2.0,SAU
Saudi Arabia,SA,EM,Financials,1.0,SAU
Saudi Arabia,SA,EM,Health Care,1.0,SAU
Saudi Arabia,SA,EM,Industrials,3.0,SAU
Saudi Arabia,SA,EM,Materials,7.0,SAU
South Africa,ZA,EM,Consumer Staples,1.0,ZAF
South Africa,ZA,EM,Financials,1.0,ZAF
South Africa,ZA,EM,Industrials,2.0,ZAF
South Africa,ZA,EM,Materials,2.0,ZAF
Taiwan,TW,EM,Consumer Discretionary,1.0,TWN
Taiwan,TW,EM,Financials,1.0,TWN
Taiwan,TW,EM,Industrials,6.0,TWN
Taiwan,TW,EM,Information Technology,1.0,TWN
Taiwan,TW,EM,Materials,10.0,TWN
Thailand,TH,EM,Consumer Staples,1.0,THA
Thailand,TH,EM,Industrials,5.0,THA
Thailand,TH,EM,Materials,4.0,THA
Thailand,TH,EM,Utilities,2.0,THA
Turkey,TR,EM,Consumer Discretionary,1.0,TUR
Turkey,TR,EM,Industrials,2.0,TUR
Turkey,TR,EM,Materials,1.0,TUR
United Arab Emirates,AE,EM,Communication Services,1.0,ARE
United Arab Emirates,AE,EM,Financials,1.0,ARE
United Arab Emirates,AE,EM,Utilities,1.0,ARE
Australia,AU,DM,Consumer Discretionary,1.0,AUS
Australia,AU,DM,Consumer Staples,5.0,AUS
Australia,AU,DM,Energy,1.0,AUS
Australia,AU,DM,Financials,3.0,AUS
Australia,AU,DM,Industrials,10.0,AUS
Australia,AU,DM,Materials,7.0,AUS
Australia,AU,DM,Real Estate,2.0,AUS
Australia,AU,DM,Utilities,1.0,AUS
